name,terminal,amenity_type,airside,floor_level,cuisine,lat,lon,address,phone,website,opening_hours,wheelchair,takeaway,brand,osm_id,osm_type
ITEA Premium,Terminal 3,cafe,,,,,,,,,,,,,,
Korea Culture,Terminal 3,restaurant,,,korean,,,,,,,,,,,
KOI Thé,Terminal 3,cafe,,,,,,,,,,,,,,
LE Congee,Terminal 3,restaurant,,,chinese,,,,,,,,,,,
McDonald's,Terminal 3,fast_food,,,burger,,,,,,,,,McDonald's,,
Meltise,Terminal 3,ice_cream,,,,,,,,,,,,,,
Mr Teh Tarik Express,Terminal 3,cafe,,,,,,,,,,,,,,
Mr. Coconut,Terminal 3,fast_food,,,,,,,,,,,,,,
Nam Kee Pau,Terminal 3,restaurant,,,singaporean,,,,,,,,,,,
NamNam,Terminal 3,restaurant,,,vietnamese,,,,,,,,,,,
O'Coffee Club,Terminal 3,cafe,,,coffee_shop,,,,,,,,,,,
Old Chang Kee,Terminal 3,fast_food,,,singaporean,,,,,,,,,Old Chang Kee,,
Overflow,Terminal 3,restaurant,,,,,,,,,,,,,,
PappaRich,Terminal 3,restaurant,,,malaysian,,,,,,,,,,,
Paradise Dynasty,Terminal 3,restaurant,,,chinese,,,,,,,,,,,
Paris Baguette,Terminal 3,cafe,,,,,,,,,,,,Paris Baguette,,
Roost,Terminal 3,cafe,,,,,,,,,,,,,,
Rotiboy,Terminal 3,fast_food,,,,,,,,,,,,,,
Saap Saap Thai,Terminal 3,restaurant,,,thai,,,,,,,,,,,
Singapore Food Street,Terminal 3,food_court,,,singaporean,,,,,,,,,,,
Sukiya,Terminal 2,restaurant,,,"japanese, gyudon",,,,,,,,,,,
Swensen's,Terminal 3,restaurant,,,,,,,,,,,,,,
Taiwan Culture,Terminal 3,restaurant,,,taiwanese,,,,,,,,,,,
tealive,Terminal 3,cafe,,,,,,,,,,,,,,
Texas Chicken,Terminal 3,fast_food,,,chicken,,,,,,,,,Texas Chicken,,
TheJellyHearts,Terminal 3,fast_food,,,,,,,,,,,,,,
Tim Hortons SG,Terminal 3,cafe,,,coffee_shop,,,,,,,,,Tim Hortons,,
TP TEA,Terminal 3,cafe,,,,,,,,,,,,,,
Ya Kun Family Cafe,Terminal 3,cafe,,,,,,,,,,,,,,
Ya Kun Kaya Toast,Terminal 3,cafe,,,,,,,,,,,,Ya Kun Kaya Toast,,
Crystal Jade GO,Terminal 4,restaurant,,,chinese,,,,,,,,,,,
Ma Mum,Terminal 4,restaurant,,,thai,,,,,,,,,,,
Noyah La Maison & Zero Degree,Terminal 4,restaurant,,,,,,,,,,,,,,
Tiger Den,Terminal 4,bar,,,,,,,,,,,,,,
% Arabica,Jewel Changi Airport,cafe,,,coffee_shop,,,,,,,,,,,
A&W,Jewel Changi Airport,fast_food,,,burger,,,,,,,,,A&W,,
Aburi-EN,Jewel Changi Airport,restaurant,,,japanese,,,,,,,,,,,
ActionCity Café,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Allora Ristorante & Bar,Jewel Changi Airport,restaurant,,,italian,,,,,,,,,,,
An Acai Affair,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Arteastiq,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
Auntie Anne's,Jewel Changi Airport,fast_food,,,pretzel,,,,,,,,,Auntie Anne's,,
Beauty in the Pot,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
BHC Chicken,Jewel Changi Airport,fast_food,,,chicken,,,,,,,,,,,
Birds of Paradise,Jewel Changi Airport,ice_cream,,,,,,,,,,,,,,
Butter & Cream,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Café Kitsuné,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
CHA MULAN,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
CHICHA San Chen,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Chow Zan Dessert,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Dian Xiao Er,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Din Tai Fung,Jewel Changi Airport,restaurant,,,taiwanese,,,,,,,,,Din Tai Fung,,
Elfuego by COLLIN'S,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
Fish & Co,Jewel Changi Airport,restaurant,,,seafood,,,,,,,,,,,
Food Republic,Jewel Changi Airport,food_court,,,,,,,,,,,,,,
Gelatissimo,Jewel Changi Airport,ice_cream,,,,,,,,,,,,,,
Gochi-So Shokudo,Jewel Changi Airport,restaurant,,,japanese,,,,,,,,,,,
Greendot Plus,Jewel Changi Airport,restaurant,,,vegetarian,,,,,,,,,,,
Guzman y Gomez,Jewel Changi Airport,fast_food,,,mexican,,,,,,,,,,,
Gwangjang GAON,Jewel Changi Airport,restaurant,,,korean,,,,,,,,,,,
Hakka Yu,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
HEYTEA,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Hitoyoshi Izakaya,Jewel Changi Airport,restaurant,,,japanese,,,,,,,,,,,
Hoshino Coffee,Jewel Changi Airport,cafe,,,coffee_shop,,,,,,,,,,,
Hot Tomato,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
Imperial Treasure Super Peking Duck,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Ipoh Town,Jewel Changi Airport,restaurant,,,malaysian,,,,,,,,,,,
Jack's Place,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
Josh's Grill,Jewel Changi Airport,restaurant,,,,,,,,,,,,,,
JUMBO Seafood,Jewel Changi Airport,restaurant,,,seafood,,,,,,,,,,,
Kam's Roast,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
KANE MOCHI,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Kantin,Jewel Changi Airport,restaurant,,,singaporean,,,,,,,,,,,
KFC,Jewel Changi Airport,fast_food,,,chicken,,,,,,,,,KFC,,
Kiwami Ramen,Jewel Changi Airport,restaurant,,,ramen,,,,,,,,,,,
KOI Express,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
KOI Thé,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
Lady M,Jewel Changi Airport,cafe,,,,,,,,,,,,,,
LeMa Dumpling,Jewel Changi Airport,restaurant,,,chinese,,,,,,,,,,,
Llaollao,Jewel Changi Airport,ice_cream,,,frozen_yogurt,,,,,,,,,,,
Lotteria,Jewel Changi Airport,fast_food,,,burger,,,,,,,,,,,
Luckin Coffee,Jewel Changi Airport,cafe,,,coffee_shop,,,,,,,,,,,
