"name","terminal","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Freshens Fresh Food Studio","B Gates","Airside","B22","B Gates, Near Gate B22","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Garbanzo Fresh Mediterranean","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Great Divide Brewing","C Gates","Airside","C32","C Gates, Near Gate C32","","","","","","Daily, 5:00 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Half Moon Empanadas","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 5 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Jamba Juice","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Jamba Juice","B Gates","Airside","","B Gates, Mezzanine","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Jamba Juice","C Gates","Airside","C31","C Gates, Near Gate C31","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Kabod Coffee","B Gates","Airside","B24","B Gates, Near Gate B24","","","","","","Daily, 7 a.m. – 2 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Kabod Coffee","B Gates","Airside","B89","B Gates, Near Gate B89","","","","","","Daily, 8 a.m. – 5 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Kabod Coffee","Jeppesen Terminal","Landside","","Jeppesen Terminal, Level 6 West","","","","","","Daily, 6 a.m. – Midnight","","","","","","OPEN — on official Denver DEN website",""
"KFC Express / Pizza Hut Express","A Gates","Airside","","A Gates, Center Core","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"La Casita","C Gates","Airside","","C Gates, Center Core","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Lavazza","A Gates","Airside","A32","A Gates, Near Gate A32","","","","","","Daily, 5 a.m. – 8 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Little Man Ice Cream","C Gates","Airside","C27","C Gates, Near Gate C27","","","","","","Daily, 7 a.m. – 6 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Marczyk Fine Foods","C Gates","Airside","C62","C Gates, Near Gate C62","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Maria Empanada","A Gates","Airside","A24","A Gates, Near Gate A24","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"McDonald's","A Gates","Airside","","A Gates, Center Core","","","","","","Daily, 5 a.m. – 2 a.m.","","","","","","OPEN — on official Denver DEN website",""
"McDonald's","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 5 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"McDonald's","C Gates","Airside","","C Gates, Center Core","","","","","","Daily, 5 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Mercantile Dining & Provision","A Gates","Airside","","A Gates, Center Core","","","","","","Daily, 6 a.m. – 12 a.m.","","","","","","OPEN — on official Denver DEN website",""
"Mizu Sushi Izakaya","B Gates","Airside","B12","B Gates, Near Gate B12","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Modern Market","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 5:30 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Modern Market","C Gates","Airside","C28","C Gates, Near Gate C28","","","","","","Daily, 6 a.m. – 8 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Mr. Oso by Senor Bear","C Gates","Airside","C54","C Gates, Near Gate C54","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"New Belgium Brewing","B Gates","Airside","B30","B Gates, Near Gate B30","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Novo Coffee","A Gates","Airside","","A Gates, Center Core, west side","","","","","","Daily, 4 a.m. – 8 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Novo Coffee","B Gates","Airside","","B Gates, Center Core","","","","","","Daily, 4 a.m. – 8 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Olive & Finch Grab & Go","A Gates","Airside","A48","A Gates, Near Gate A48","","","","","","Always open","","","","","","OPEN — on official Denver DEN website",""
"Olive & Finch Grab & Go","Jeppesen Terminal","Landside","","Jeppesen Terminal, Level 5 West","","","","","","Always open","","","","","","OPEN — on official Denver DEN website",""
"Osteria Marco","B Gates","Airside","","B Gates, Center Core, Mezzanine","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Panda Express","A Gates","Airside","","A Gates, Center Core","","","","","","Daily, 5 a.m. – Midnight","","","","","","OPEN — on official Denver DEN website",""
"Peet's Coffee","A Gates","Airside","A18","A Gates, Near Gate A18","","","","","","Daily 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Peet's Coffee","C Gates","Airside","C31","C Gates, Near Gate C31","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Peet's Coffee","B Gates","Airside","","B Gates, Center Core Mezzanine","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Qdoba Mexican Eats","A Gates","Airside","","A Gates, Center Core","","","","","","Open 24-hours a day","","","","","","OPEN — on official Denver DEN website",""
"Qdoba Mexican Eats","B Gates","Airside","","B Gates, Center Core, Mezzanine","","","","","","Daily, 5:30 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Que Bueno! Mexican Grill","C Gates","Airside","","C Gates, Center Core","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Que Bueno! Mexican Grille","B Gates","Airside","B52","B Gates, Near Gate B52","","","","","","Daily, 5:30 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Quiznos","A Gates","Airside","A34","A Gates, Near Gate A34","","","","","","Daily, 6 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Rocky Mountain Chocolate Factory","B Gates","Airside","B52","B Gates, Near Gate B52","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Root Down","C Gates","Airside","","C Gates, Center Core","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Root Down DIA","B Gates","Airside","B40","B Gates, Near Gate B40","","","","","","Daily, 5 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Rosenberg's Bagels & Delicatessen","A Gates","Airside","A38","A Gates, Near Gate A38","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Salt & Grinder","B Gates","Airside","","B Gates, Center Core, Mezzanine","","","","","","Daily, 5:30 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Salt & Smoke","A Gates","Airside","A48","A Gates, Near Gate A48","","","","","","Daily, 7 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Santo","C Gates","Airside","C49","C Gates, Near Gate C49","","","","","","Daily, 5:30 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Shake Shack","A Gates","Airside","","A Gates, Center Core","","","","","","Daily, 5:30 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Shake Shack","B Gates","Airside","","B Gates, Center Core, Mezzanine Level","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Slater's 50/50","C Gates","Airside","C54","C Gates, Near Gate C54","","","","","","Daily, 7 a.m. – 11 p.m.","","","","","","OPEN — on official Denver DEN website",""
"SMASHBURGER & Bar","B Gates","Airside","B44","B Gates, Near Gate B44","","","","","","Daily, 5 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"SMASHBURGER & Bar","C Gates","Airside","C51","C Gates, Near Gate C51","","","","","","Daily, 5 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Snarf's Sandwiches","A Gates","Airside","A73","A Gates, Near Gate A73","","","","","","Daily, 6 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Snooze an A.M. Eatery","A Gates","Airside","A24","A Gates, Near Gate A24","","","","","","Daily, 5 a.m. – 10 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Snooze An A.M. Eatery","B Gates","Airside","","B Gates, Center Core, Mezzanine Level","","","","","","Daily, 5:30 a.m. – 9:30 p.m.","","","","","","OPEN — on official Denver DEN website",""
"Starbucks","A Gates","Airside","A69","A Gates, Near Gate A69","","","","","","Daily, 5 a.m. – 9 p.m.","","","","","","OPEN — on official Denver DEN website",""
