"name","terminal","concourse","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Ciao Gourmet Market","Terminal 1","Concourse C","Airside","C15","Terminal 1 near Gate C15","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Ciao Gourmet Market","Terminal 1","","Landside","T1","Terminal 1 near T1 Baggage Claim","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Connect Bar","Terminal 2","Concourse F","Airside","F3","Terminal 2 near Gate F3","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Dunkin'","Terminal 3","Concourse H","Airside","H5","Terminal 3 near Gate H5","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Dunkin'","Terminal 2","Concourse F","Airside","F9","Terminal 2 near Gate F9","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Dunkin'","Terminal 5","Concourse M","Airside","M16","Terminal 5 near Gate M16","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Dunkin' Express","Terminal 1","Concourse B","Airside","B14","Terminal 1 near Gate B14","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Eat Well Travel Further","Terminal 2","Concourse F","Airside","F20","Terminal 2 near Gate F20","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Eli's Cheesecake - Home Run Inn Pizza - Vienna Beef","Terminal 1","Concourse B","Airside","B9","Terminal 1 near Gate B9","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Facades Bar","Terminal 3","Concourse K","Airside","K15","Terminal 3 near Gate K15","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Farmer's Fridge","Terminal 2","Concourse F","Airside","F9","Terminal 2 near Gate F9","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Farmer's Fridge","Terminal 3","Concourse K","Airside","K6","Terminal 3 near Gate K6","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Farmer's Fridge","Terminal 5","Concourse M","Airside","M2","Terminal 5 near Gate M2","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Farmer's Fridge","Terminal 3","","Landside","","Terminal 3 near Baggage Claim","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Farmer's Fridge","Terminal 5","","Landside","","Terminal 5 - Departures / Check-In","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Farmer's Fridge","Terminal 3","","Landside","","Terminal 3 - Departures / Check-In","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Farmers Market","Terminal 3","Concourse T","Airside","T3","Terminal 3 near T3 Rotunda near Gate G1","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Fresh Market on the Go","Terminal 1","Concourse C","Airside","C23","Terminal 1 near Gate C23","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Fulton Street Cafe","Terminal 3","Concourse H","Airside","H14","Terminal 3 near Gate H14","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Galileo Bar & Grill","Terminal 1","Concourse B","Airside","B19","Terminal 1 near Gate B19","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
"Garrett Popcorn Shops","Terminal 1","Concourse B","Airside","B8","Terminal 1 near Gate B8","","","","","","","","","","","","OPEN — on official Chicago O'Hare website",""
