name,cuisine,airport_count,airports,example_airport
Bistro 2020,,1,SYD,SYD
Bistro by Mastercard,,1,FCO,FCO
Bistro:D,,1,TPE,TPE
Bistrot,,1,FCO,FCO
Bistrot Attica Athens / Lukumades,,1,ATH,ATH
Bistrot Bakery,,1,BRU,BRU
Bistrot Bar,,1,BRU,BRU
Bistrot Benoit,,1,CDG,CDG
Bistrot Frankfurt Airport,,1,FRA,FRA
Bistrot Snack Bar,,1,FRA,FRA
Bite,,1,IST,IST
BJ's Gourmet Market,,1,ORD,ORD
BKLYN Blend,coffee_shop,1,JFK,JFK
Black Dog Bar,,1,BOM,BOM
Black Pearls,,1,BRU,BRU
Black Star Bakery & Cafe,,1,JFK,JFK
Black Tap Bar,,1,JFK,JFK
Blackberry,,1,BOM,BOM
Blaze Pizza,,1,IAH,IAH
Blue Elephant Restaurant,,1,DXB,DXB
Blue Sky Bar,,1,DEN,DEN
Blue Smith,,1,MNL,MNL
Bluebird Bar,,1,MUC,MUC
Bluebird Coffee Roasters,,1,DUB,DUB
Boar's Head Deli,,1,DFW,DFW
Boarding Bite,,1,BOM,BOM
Bob's,,1,GIG,GIG
Boccata Restaurant and Wine Bar,,1,MEL,MEL
Boccone Pronto,,1,YYZ,YYZ
Boccone Trattoria by Massimo Capra,,1,YYZ,YYZ
Boconero,,1,MUC,MUC
Boconero Express,,1,MUC,MUC
Bodegon,,1,LIM,LIM
Bonchon,chicken,1,BKK,BKK
Bonci,,1,FCO,FCO
Boost Juice Bar,,1,KUL,KUL
Boost Juice Bars,juice,1,SIN,SIN
Border Grill,,1,LAX,LAX
Boston Bruins Bar,,1,BOS,BOS
Boston Harbor Distillery,,1,BOS,BOS
Boston Public Market,,1,BOS,BOS
BOTEJYU 1946,japanese,1,KIX,KIX
BOTEJYU EXPRESS,,1,NRT,NRT
Bottega Bar,Italian,1,AUH,AUH
Bottega Bosphorus,,1,IST,IST
Bottega Prosecco,,1,FCO,FCO
Bottega Prosecco Bar,,1,BHX,BHX
Bottega Prosecco Bar & Caffè,,1,MAD,MAD
Boulton & Watt,,1,JFK,JFK
Boutique DaDong Restaurant,chinese,1,PKX,PKX
BOWL,,1,HKG,HKG
Boxx,,1,DUB,DUB
Brasserie Bread,,1,SYD,SYD
BRB Boba Tea,,1,LAS,LAS
Bread!,,1,AMS,AMS
Breadtalk,,1,MNL,MNL
Breckenridge Brewery,,1,DEN,DEN
BrewDog,,1,LGW,LGW
Brewed,,1,DFW,DFW
Brewgate,,1,BRU,BRU
"Brewgate - Coffee, Beer & Bites",,1,FRA,FRA
Brewmark,,1,IST,IST
BrewTop Social,,1,SEA,SEA
Brezelkönig,,1,ZRH,ZRH
Breznsalzer,,1,MUC,MUC
Bridge Road Brewers,,1,MEL,MEL
Bridge Xiangyuan Rice Noodles,chinese,1,PKX,PKX
Brindle Room,,1,JFK,JFK
Brittans,,1,JNB,JNB
Brklyn's Best Bagels / Kombu,,1,LGA,LGA
Brooklyn Deli,,1,JFK,JFK
Brooklyn Diner,,1,LGA,LGA
Brooklyn Rebel,,1,JFK,JFK
Brot by Axel Schmitt,,1,FRA,FRA
Brothers BBQ,,1,DEN,DEN
Brummanah Restaurant and Cafe,,1,DXB,DXB
Brunetti Classico,,1,MEL,MEL
Bruschetteria,,1,MUC,MUC
Bryant Park Market,,1,JFK,JFK
Bubble Waffle Cafe,,1,YVR,YVR
Bubbles Seafood & Winebar,,1,AMS,AMS
Bubbles Wine Bar,,1,ORD,ORD
Bubby's,,1,LGA,LGA
Budweiser Bar,,1,BOM,BOM
Bufala Gelato,,1,ATH,ATH
Buffalo Wild Wings GO,,1,BOS,BOS
Buk Chang Dong Soon Tofu,korean,1,SIN,SIN
Bullritos,,1,IAH,IAH
Burger Boy,burger,1,LIM,LIM
Burger Federation,,1,ORD,ORD
Burger King - Gates 70-99,,1,MCO,MCO
Burger Land,,1,TPE,TPE
Burger Taco Co,,1,BOM,BOM
Burgeri,"Burgers, American",1,DOH,DOH
Burrito Beach,,1,ORD,ORD
Busgate Goodies,,1,MNL,MNL
But First Coffee,,1,MNL,MNL
Butcher & The Burger,,1,ORD,ORD
Butter & Cream,,1,SIN,SIN
Bye Bye Bar,,1,ZRH,ZRH
BYEOLMIGA,korean,1,ICN,ICN
Byte Restaurant,,1,JNB,JNB
Byte: Fresh Grab and Go Meals,,1,IAH,IAH
Byzance Gourmet Food Bar,,1,CDG,CDG
Bà Xã,,1,MEL,MEL
C'est Bon Café,,1,TPE,TPE
Cadillac Mexican Kitchen & Tequila Bar,,1,IAH,IAH
Cadiz,spanish,1,DXB,DXB
Caesars,,1,DXB,DXB
Cafe & Bar 和 SAKURA,,1,KIX,KIX
CAFE & DINING N's COURT,,1,NRT,NRT
CAFE LOKA LOKA,,1,KUL,KUL
Cafe O,coffee_shop,1,SIN,SIN
Cafe Sol,,1,MEL,MEL
Cafe Yanımda,,1,IST,IST
Cafe Zoot!,,1,ORD,ORD
caffe LAT.25° Terminal1,,1,NRT,NRT
caffe LAT.25° Terminal3 2F,,1,NRT,NRT
caffe LAT.25° Terminal3 3F,,1,NRT,NRT
Caffe Mercato,,1,ORD,ORD
Caffe Pascucci,coffee_shop,1,ICN,ICN
Caffettino Espresso,,1,SYD,SYD
Caffexpress,,1,MNL,MNL
Caffè Napoli,,1,FCO,FCO
Caffè Ritazza,,1,FRA,FRA
Caffè Spettacolo,,1,ZRH,ZRH
Caffè Vergnano - Women in Coffee,,1,FCO,FCO
Café Comptoir,,1,BRU,BRU
Café Comunal,,1,AMS,AMS
Café DIOR by Anne-Sophie Pic,,1,KIX,KIX
Café Eiffel,,1,CDG,CDG
Café Kitsuné,,1,SIN,SIN
Café La Carreta,,1,MIA,MIA
Café Nescafe,,1,CMB,CMB
Café Pans,,1,MAD,MAD
Café Park & Stop,,1,MNL,MNL
Café Punta del Cielo,,1,MEX,MEX
Café Rembrandt,,1,AMS,AMS
Café Tee Ree Ya,,1,MNL,MNL
Café-Konditorei Aida,,1,MUC,MUC
Cake Bar,,1,DFW,DFW
Calista Taverna,,1,LGA,LGA
Callao,,1,LIM,LIM
Camdem Food Co.,,1,DXB,DXB
Camden Food Company,,1,YYZ,YYZ
Camden Food Company - Gates 50-59,,1,MCO,MCO
Campos Coffee,coffee_shop,1,SYD,SYD
can.teen,,1,HKG,HKG
Cantina Grill,,1,DEN,DEN
Capello,,1,JNB,JNB
Capital One Landing,,1,LGA,LGA
Capitol Hill Food Hall,,1,SEA,SEA
Caplansky's Deli,,1,YYZ,YYZ
Caribbean Kitchen,caribbean,1,JFK,JFK
Carls Cafe,,1,IST,IST
Carluccio's Bar,,1,IST,IST
Carry Out/Carry On,,1,ORD,ORD
Carvel - Food Court,,1,MCO,MCO
Carvel - Gates 70-99,,1,MCO,MCO
Casa Bauducco,,1,GIG,GIG
Casa Daza,,1,MNL,MNL
Casa do Pão de Queijo,,1,GIG,GIG
Casa Mia,italian,1,DXB,DXB
Cask & Larder - Gates 100-129,,1,MCO,MCO
Cask & Larder Provisions - Terminal C Palm Court,,1,MCO,MCO
Cask & Larder Public House - Terminal C Palm Court,,1,MCO,MCO
Cava,mediterranean,1,LAX,LAX
Caviar House Seafood Bar,,1,ZRH,ZRH
Cañas y Tapas - Café Pans,,1,MAD,MAD
CBTL,,1,KUL,KUL
Ccd,,1,BOM,BOM
Center Bar and Kitchen,,1,ZRH,ZRH
Central Café,,1,MAD,MAD
Central Thai,thai,1,SIN,SIN
Century Express,"indian, chinese, arabic",1,DXB,DXB
Cha Chaan by KAM FAT CAFÉ 1986,hong_kong,1,HKG,HKG
CHA MULAN,,1,SIN,SIN
Chac'late,"Chocolates, Café, Desserts",1,DOH,DOH
Chaiiwala,,1,BHX,BHX
Chalet Suisse,,1,ZRH,ZRH
Chapati & Karak,"Indian, Café, Street Food",1,DOH,DOH
CHAR,,1,ICN,ICN
Charm Boat Noodle,thai,1,BKK,BKK
Chatterbox Express,singaporean,1,SIN,SIN
Chaw X Lavazza,coffee_shop,1,BKK,BKK
Chee Kei,chinese,1,PKX,PKX
Chef café,,1,BOM,BOM
Chef Creole,,1,MIA,MIA
Chef Wan Petite,,1,KUL,KUL
Chef Wei HK Cheong Fun,hong_kong,1,SIN,SIN
Chefs of the Caribbean,,1,MIA,MIA
Chengdu Bowl,chinese,1,SIN,SIN
Chengmeng,,1,TPE,TPE
Cheongjindong Sundubu,korean,1,ICN,ICN
Cheongun Miga,korean,1,ICN,ICN
Chia,,1,MAD,MAD
Chicago Cubs Bar & Grill,,1,ORD,ORD
Chicago Essentials Vending Machine,,1,ORD,ORD
Chicago Neighborhood Market & Goods,,1,ORD,ORD
Chick-fil-A - Food Court,,1,MCO,MCO
Chick-fil-A - Terminal C Palm Court,,1,MCO,MCO
Chicken Guy,chicken,1,LAX,LAX
Chicken Licken,,1,JNB,JNB
Chicken Republic,chicken,1,LOS,LOS
Chicken Tikke Inn,,1,DXB,DXB
Chilis / Vips / Starbucks,,1,MEX,MEX
China King,,1,MEX,MEX
China Town,chinese,1,BKK,BKK
Chinese Herb Rib Stew,,1,TPE,TPE
Chipotle - Gates 100-129,,1,MCO,MCO
Chocnette,,1,IST,IST
Chocolat palette,,1,ICN,ICN
Chocolate,,1,JNB,JNB
Choi Dining,,1,ICN,ICN
ChoLon Modern Asian,,1,DEN,DEN
Chopt,,1,LGA,LGA
Chow Zan Dessert,chinese,1,SIN,SIN
Chreis 14 / Café BelleVUE,,1,ZRH,ZRH
Church's Texas Chicken,,1,YVR,YVR
Chutney Mary,indian,1,SIN,SIN
Chök,,1,MAD,MAD
Ciao Amici,,1,MUC,MUC
Ciao Italia,,1,FRA,FRA
Cibo,,1,DUB,DUB
Cibo Express,coffee_shop,1,JFK,JFK
CIBO Express - Gate 72,,1,MCO,MCO
CIBO Express - Gate 80,,1,MCO,MCO
CIBO Express - Gate 92,,1,MCO,MCO
CIBO Express Foodhall,,1,LGA,LGA
Cinnabon - Food Court,,1,MCO,MCO
Cioccolati italiani,,1,FCO,FCO
City Crepes,,1,IAH,IAH
City Pho,,1,DEN,DEN
City Wok,,1,DEN,DEN
Claypot Daddy,singaporean,1,SIN,SIN
Clink Bar,,1,BOM,BOM
Cloud 7,,1,MUC,MUC
Cloud Picker,,1,DUB,DUB
Cloud Picker - Gate 402,,1,DUB,DUB
Cloud Picker - Gate 409,,1,DUB,DUB
Clubrooms by No. 1,,1,BHX,BHX
Cluny Grille,,1,YYZ,YYZ
Co-Pilots,,1,LHR,LHR
Cobblestones Biergarten & Bar,,1,JFK,JFK
Coca-Cola Bar & Biergarten,,1,MUC,MUC
Cockpit,,1,LIS,LIS
Cockpit Coffee Shop,,1,LIS,LIS
CoCo,,1,PKX,PKX
COCO'S Airport Dining,,1,KIX,KIX
CoCo+Mr.Fruits,,1,PKX,PKX
Coffee Bean & Tea Leaf,coffee_shop,1,LAX,LAX
Coffee Bean & Tea Leaf (CBTL),,1,BOM,BOM
Coffee Berry,,1,ATH,ATH
Coffee Capital,,1,MEL,MEL
COFFEE MAN,,1,TPE,TPE
Coffee Republic,,1,MAD,MAD
Coffee World,coffee_shop,1,BKK,BKK
coffeesmith,coffee_shop,1,ICN,ICN
CoffeeSpot,coffee_shop,1,GIG,GIG
COLDSTONE,,1,TPE,TPE
COLECTIVO,,1,ICN,ICN
Colorado Collective Marketplace,,1,DEN,DEN
COLOSSEO,italian,1,KIX,KIX
Comebuy,,1,TPE,TPE
COMEME,,1,TPE,TPE
Comfort Zone,,1,YYZ,YYZ
Confeitaria Nacional,,1,LIS,LIS
Confiserie Sprüngli Café & Lounge,,1,ZRH,ZRH
Confiseur Bachmann,,1,ZRH,ZRH
Connect Bar,,1,ORD,ORD
Connie Cocktail Lounge,,1,JFK,JFK
Conti'S,,1,MNL,MNL
Cookhouse,,1,SIN,SIN
Coors Silver Bullet Bar,,1,DEN,DEN
Copper,,1,LIM,LIM
Corcoran's Irish Pub,,1,LAS,LAS
Corner by Real Madrid,,1,MAD,MAD
Corso Pizza and Pasta,,1,YYZ,YYZ
Cosi,,1,BOS,BOS
Cotto Trattoria & Market Place,,1,LGA,LGA
Cousin's Back Porch,,1,DFW,DFW
Croissant Lab,,1,MEL,MEL
Crossroads,,1,AMS,AMS
Crown Prince Kitchenette,chinese,1,SIN,SIN
CRU Food & Wine Bar,,1,DFW,DFW
Cru Wine Bar,,1,DEN,DEN
Crystal Jade GO,chinese,1,SIN,SIN
Crêpes Your Way,,1,JFK,JFK
Cuan,,1,DUB,DUB
Cucara Macara,,1,MEX,MEX
Cucina & Co. - Gates C230-C245,,1,MCO,MCO
Cucina Popolare,,1,MUC,MUC
Cuisine Anatolia,turkish,1,IST,IST
Cultivos,,1,ATH,ATH
Culto Cafe,"Coffee, Italian, Café",1,AUH,AUH
Cup Stop,,1,MEX,MEX
Cupping Room Coffee Roasters,coffee_shop,1,HKG,HKG
Cups & Clouds,coffee_shop,1,IST,IST
Custom Burgers,burger,1,JFK,JFK
D Bar,,1,DEN,DEN
D'Good Café,,1,TPE,TPE
D3 Bar,,1,TPE,TPE
Daily Chef Noof,"Middle Eastern, Qatari",1,DOH,DOH
Daily Deli,,1,FRA,FRA
Dairy Queen,ice_cream,1,BKK,BKK
Dallas Cowboys Club,,1,DFW,DFW
Dallmayr Bistro,,1,MUC,MUC
Dammer's Tap,,1,AMS,AMS
Dan Dan Noodles,,1,TPE,TPE
Daniel's Donuts,,1,MEL,MEL
Dashichazuke EN,,1,NRT,NRT
Dave's Hot Chicken,,1,LAS,LAS
Davio's Northern Italian Steakhouse,,1,BOS,BOS
DAZZLING Café,,1,TPE,TPE
DEAN & DELUCA CAFÉ Terminal1,,1,NRT,NRT
DEAN & DELUCA CAFÉ Terminal2,,1,NRT,NRT
dean&david,,1,MUC,MUC
Dear NYC,,1,JFK,JFK
Debonairs Pizza,,1,JNB,JNB
Dehesa Santa María,,1,MAD,MAD
Delhi Capitals,,1,DEL,DEL
Deli Aux Pain,,1,IST,IST
DELI BROS,,1,FRA,FRA
Deli&Cia Daily Smart Food,,1,MEX,MEX
Delicass,,1,LIM,LIM
Delione,,1,JNB,JNB
Deliquo,,1,MAD,MAD
Delta Café,,1,LIS,LIS
Delta Café Central,,1,LIS,LIS
Deltaexpresso,,1,GIG,GIG
Denny's,,1,IAH,IAH
Denny'S Diner,,1,MNL,MNL
Denver Central Market,,1,DEN,DEN
Denver Street Eats,,1,DEN,DEN
Desano Pizzeria - Terminal C Palm Court,,1,MCO,MCO
Desi Village,,1,DXB,DXB
Di Shui Dong Dumplings,,1,TPE,TPE
Dian Xiao Er,chinese,1,SIN,SIN
Dicos,chicken,1,CAN,CAN
Dilettante Mocha Cafe,,1,SEA,SEA
DINO Snack Bar & Fast Food,,1,MEX,MEX
Dirty Apron,,1,YVR,YVR
Dish D'Lish,,1,SEA,SEA
Distillery Bar,,1,YYZ,YYZ
District Market,,1,LGA,LGA
Divalicious By The Lechon Diva,,1,MNL,MNL
Divino Fogão,,1,GIG,GIG
Dodo Pizza,pizza,1,LOS,LOS
Dome,,1,TPE,TPE
Donburi Kitchen,,1,TPE,TPE
Donna Italia,,1,BOM,BOM
Doppio Malto,,1,FCO,FCO
Dos Toros,,1,LGA,LGA
Dos Toros Tequila Bar,mexican,1,JFK,JFK
Dosa Plaza,,1,BOM,BOM
DOSUN,korean,1,ICN,ICN
Dotcom,,1,MEX,MEX
DOTONBORIKAMUKURA,japanese,1,KIX,KIX
Dots Bakery,,1,LIS,LIS
Double Smash,burger,1,LAX,LAX
Dough & Co,,1,JNB,JNB
Doutor Coffee Shop,coffee_shop,1,KIX,KIX
Douwe Egberts Coffee Bar,,1,AMS,AMS
Dovecat,,1,TPE,TPE
Downtown Market,,1,JFK,JFK
Drew Pearson's Sports 88,,1,DFW,DFW
Drip Tea,,1,MNL,MNL
Dubai Surfing,,1,DXB,DXB
Dubh,,1,DUB,DUB
Dubh Express - Gate 417,,1,DUB,DUB
Duddell's,chinese,1,HKG,HKG
Dumpling Co,,1,MEL,MEL
Dumplings loved by Xihe,chinese,1,PKX,PKX
Dunkin Donuts Express,"donut, coffee_shop",1,JFK,JFK
Dunkin' (Open 24 Hours),,1,MIA,MIA
Dunkin' Pop-Up,,1,BRU,BRU
Dutch Kitchen Bar & Cocktails,,1,AMS,AMS
Eagle Al SAQR Restaurant,,1,DXB,DXB
EARL Canteen,,1,MEL,MEL
EARL Dine,,1,SYD,SYD
Earl of Sandwich,,1,MIA,MIA
East Bar & Bites,,1,AMS,AMS
East x West Dine,,1,SYD,SYD
Eastward,,1,JFK,JFK
EASY grab-n-go,,1,ATH,ATH
Eat & Drink Restaurant,,1,DXB,DXB
Eat & Joy,,1,IST,IST
Eat and go,,1,JFK,JFK
Eat Greek,,1,ATH,ATH
Eat Well Travel Further,,1,ORD,ORD
EatGreek Kouzina,"Greek, Mediterranean",1,DOH,DOH
Edelweiss Café,,1,ZRH,ZRH
EGGDROP,,1,ICN,ICN
Eggy Weggy / Essex Burger,,1,LGA,LGA
Einstein Bros. Bagels / Mile High Spirits,,1,DEN,DEN
El Alcatraz,,1,MEX,MEX
El Café Bar,,1,MEX,MEX
El Catrin Taqueria,,1,YYZ,YYZ
El Chingon,,1,DEN,DEN
EL&N London,,1,FRA,FRA
Elfuego by COLLIN'S,,1,SIN,SIN
Eli's Cheesecake - Home Run Inn Pizza - Vienna Beef,,1,ORD,ORD
Ella Robot Coffee,,1,MNL,MNL
Elway's,,1,DEN,DEN
Elway's Taproom and Grill,,1,DEN,DEN
Embarque Whiskey Grill,,1,SEA,SEA
"Emmer Pizza, Bar & Cafe",pizza,1,HKG,HKG
Empanadas y Tal,,1,GIG,GIG
Emporio Armani Caffe,"Italian, Café",1,DOH,DOH
Emporio Armani Ristorante,Italian,1,DOH,DOH
Emporio Express,,1,WLG,WLG
Engine,,1,LAX,LAX
Enrique Tomás experience,,1,MAD,MAD
Enva,,1,IST,IST
Erdinger Bar & Biergarten,,1,MUC,MUC
Ergon Greek Cuisine,,1,ATH,ATH
Escape Lounge,,1,MAN,MAN
Escape Lounge (T3),,1,MAN,MAN
Eslite Spectrum Café,,1,TPE,TPE
Esplanade Bar,,1,LAS,LAS
ESPRESSO & BAKERY,,1,KIX,KIX
Espresso House,,1,FRA,FRA
Espresso Urbano by Sambalatte,,1,LAS,LAS
Ess Corner Cafe,,1,BKK,BKK
Esspresamente Illy,,1,MIA,MIA
Estefan Kitchen Express,,1,MIA,MIA
Estrels,,1,MNL,MNL
Euro Cafe,,1,JFK,JFK
Europa,,1,JNB,JNB
Everest,,1,ATH,ATH
Everest Exclusive,,1,ATH,ATH
Evergreen Organics,"Healthy, Organic, Café",1,DOH,DOH
Evergreens,,1,SEA,SEA
Facades Bar,,1,ORD,ORD
Factory,,1,GIG,GIG
Falconi's,,1,FRA,FRA
FamilyMart,,1,TPE,TPE
Famous Famiglia,,1,MIA,MIA
Farine,,1,MAD,MAD
Farinella,,1,FCO,FCO
Farinella T3,,1,FCO,FCO
Farmair's Café,,1,MIA,MIA
FarmAir's Market - Gate 103,,1,MCO,MCO
FarmAir's Market - Gate 123,,1,MCO,MCO
Farolito,,1,MEX,MEX
Fat Sal's,,1,LAX,LAX
Fat Sully's Pizza NY Pizza,,1,DEN,DEN
Fat Yak Bar,,1,SYD,SYD
Feltman's of Coney Island,,1,JFK,JFK
Fendi Caffe,"Italian, Café, Luxury",1,DOH,DOH
Fetta,,1,YYZ,YYZ
Fever-Tree Cocktail & Champagne Bar,,1,MAN,MAN
Fig & Fennel,,1,MIA,MIA
Filli,tea,1,DXB,DXB
FINEPRINT,coffee_shop,1,HKG,HKG
Fionn MacCool's,,1,YYZ,YYZ
Fiorello Market,,1,LGA,LGA
Firehouse Subs - Food Court,,1,MCO,MCO
First Café,,1,LIS,LIS
First Class Café,,1,LIS,LIS
Fish & Co,seafood,1,SIN,SIN
Fitzgeralds,,1,DUB,DUB
Five Borough Food Hall,,1,JFK,JFK
Flat Chat Espresso & Bar,,1,MEL,MEL
Flat White Specialty Coffee,"Coffee, Café",1,DOH,DOH
Flatiron Coffee Roasters,,1,JFK,JFK
Flatiron Tavern & Provisions,,1,LGA,LGA
Flax & Kale,,1,MAD,MAD
Flight Club,,1,KUL,KUL
Flight Club Signature,,1,KUL,KUL
Flocafe Espresso Room,,1,ATH,ATH
Floret by Cafe Flora,,1,SEA,SEA
flour + stone,,1,DXB,DXB
Flurys,,1,BOM,BOM
Fly By Wings,,1,MEX,MEX
Fly-By Bagels,,1,JFK,JFK
Flying Bites,,1,DEL,DEL
Flying Saucer Draught Emporium,,1,DFW,DFW
Flying Tacos,mexican,1,JFK,JFK
Food & Café,,1,CDG,CDG
FOOD EMPIRE EAST,,1,ICN,ICN
FOOD EMPIRE WEST,,1,ICN,ICN
Food Market,"International, Food Court",1,DOH,DOH
Food Republic,,1,SIN,SIN
Food Village,,1,DUB,DUB
Foodies,,1,MAD,MAD
Foodies' Clan,,1,SIN,SIN
Foodji,,1,MUC,MUC
Foody's,,1,BOM,BOM
FORMOSA CHANG,,1,TPE,TPE
Forno Magico Neapolitan Pizza,,1,IAH,IAH
Fortnum & Mason Bar,,1,LHR,LHR
Fox & Flight,,1,BOS,BOS
Franks,,1,DEL,DEL
Freddo,ice_cream,1,GIG,GIG
Fresco,,1,BOM,BOM
Fresh & Healthy,,1,DEL,DEL
Fresh Brothers,,1,LAX,LAX
Freshens Yogurt & Smoothies,,1,DFW,DFW
FRESHNESS BURGER,,1,NRT,NRT
Fruitality,,1,DUB,DUB
Fruitas,,1,MNL,MNL
FRUITPARLOR Mi'z,,1,NRT,NRT
Fruitzone,,1,DXB,DXB
Fuddruckers,burger,1,DXB,DXB
Fujian Noodles,,1,TPE,TPE
Fulton Street Cafe,,1,ORD,ORD
Fürstenlounge,,1,MUC,MUC
Gachi Sushi & Noodles,,1,BOS,BOS
GAIL's,coffee_shop,1,LGW,LGW
Gajokhoegwan,korean,1,ICN,ICN
Galeão Coffee Shop,coffee_shop,1,GIG,GIG
Galiano Cafe,,1,YVR,YVR
Galileo Bar & Grill,,1,ORD,ORD
Gaming Lounge,,1,LAS,LAS
Garbanzo Fresh Mediterranean,,1,DEN,DEN
Gaslight Club,,1,ORD,ORD
Gastrohub - Gates 30-59,,1,MCO,MCO
Gastrohub To Go - Gates 30-59,,1,MCO,MCO
Gelatissimo,,1,SIN,SIN
GELATO COMBO,ice_cream,1,HKG,HKG
GELCCINE,,1,ICN,ICN
Geneal e Sorvetes Itália,ice_cream,1,GIG,GIG
GENKI SHOUTEN,,1,KIX,KIX
Gentry Noodle,,1,TPE,TPE
George's International Market,,1,IAH,IAH
Ghewar Coffe Shop,,1,DXB,DXB
Gilbert's Food Bar (Post-Security),,1,MIA,MIA
Ginebra San Miguel Spirits,,1,MNL,MNL
Gino's,,1,MEX,MEX
Ginshari Hokkaido,,1,NRT,NRT
Ginza Kagari,,1,NRT,NRT
Giraffas,,1,GIG,GIG
Giraffe World Kitchen,"International, World Cuisine",1,DOH,DOH
Global Topps & Noodles,,1,MNL,MNL
Globe@YVR,,1,YVR,YVR
Go Natural,,1,LIS,LIS
Go To Café,,1,LIS,LIS
Go! Espresso and Bar,,1,MEL,MEL
Gochi-So Shokudo,japanese,1,SIN,SIN
Godiva,,1,IST,IST
Goethe Bar,,1,FRA,FRA
Gold Coast Dogs,,1,ORD,ORD
Golden Fork,,1,DXB,DXB
Golestan,,1,DXB,DXB
Gontran Cherrier,,1,TPE,TPE
Good Day,,1,WLG,WLG
Good Flippin' Burgers,,1,BOM,BOM
Goodman & Filippo,,1,FRA,FRA
Goose Island Pub,,1,ORD,ORD
GORAESA,,1,ICN,ICN
Gordon Ramsay Burger,"Burgers, American, Gourmet",1,DOH,DOH
Gordon Ramsay Plane Food Market,,1,LHR,LHR
Gordon Ramsay Plane Food To Go,,1,HKG,HKG
Gordon Ramsay Street Pizza,"Pizza, Italian",1,DOH,DOH
Gotham News,,1,LGA,LGA
Gotham Speakeasy,,1,JFK,JFK
Goto King,,1,MNL,MNL
Gourmet Focus Group,,1,HKG,HKG
Gourmet Sarawak,asian,1,SIN,SIN
Grab & Go,,1,DEL,DEL
gram,,1,IST,IST
Grandma's Home,chinese,1,PKX,PKX
Grandmamas,,1,KUL,KUL
GRAZ COFFEE LAB,coffee_shop,1,ICN,ICN
Great Divide Brewing,,1,DEN,DEN
Great Mann Hann,,1,MNL,MNL
Great Northern Dine,,1,SYD,SYD
Great Northern Market,,1,MAN,MAN
Great State Burger,,1,SEA,SEA
Greedy Cow Burger,,1,SEA,SEA
Green Leaf's,,1,LGA,LGA
Green Leaf's Beyond Great Salads - Gates 100-129,,1,MCO,MCO
Green Mango,,1,IAH,IAH
Green Veneti 1948,,1,ATH,ATH
Greenbeat - Terminal C Palm Court,,1,MCO,MCO
Greendot Plus,vegetarian,1,SIN,SIN
Greens,,1,ZRH,ZRH
Gregory's,,1,ATH,ATH
Grill'd Healthy Burgers,,1,MEL,MEL
Grindsmith,,1,MAN,MAN
Guangfangyuan,,1,PKX,PKX
Guangzhou Restaurant,chinese,1,CAN,CAN
Guapa,,1,BRU,BRU
Guiji,,1,TPE,TPE
Gullivers Restaurant,,1,BRU,BRU
Guy Fieri's Flavortown,,1,JFK,JFK
Guzman y Gomez,mexican,1,SIN,SIN
Gwangjang GAON,korean,1,SIN,SIN
GYEINGSEONG BUNSIK,korean,1,ICN,ICN
Gyukatsu Kyoto Katsugyu,,1,NRT,NRT
HA-HA Braised Pork Rice,,1,TPE,TPE
Habit Burger & Grill,burger,1,LAX,LAX
Hachi-ko,,1,SEA,SEA
Haferkater,,1,FRA,FRA
Haha Chicken,korean,1,WLG,WLG
HAKATA ITTENMON,,1,NRT,NRT
Hakka Yu,chinese,1,SIN,SIN
Haldiram's,,1,BOM,BOM
hana-musubi,japanese,1,HKG,HKG
Hanami Express,,1,YVR,YVR
Hanazato,japanese,1,KIX,KIX
HANBIJAE,,1,NRT,NRT
Hangar 49,,1,YVR,YVR
Hanlin Tea House,,1,TPE,TPE
Hanlin Tea Room,,1,TPE,TPE
Hanna's Cafe,,1,MEL,MEL
HANOKJIB KIMCHIJJIM,korean,1,ICN,ICN
Hanokjip Kimchijjim,korean,1,ICN,ICN
Hans im Glück,,1,MUC,MUC
Hansik Sodam-gil,korean,1,ICN,ICN
Hao Hao Chi,,1,TPE,TPE
Hardee's,burger,1,DXB,DXB
HARRODS TEA ROOM,"British, Tea Room, Café",1,DOH,DOH
Harry's Bar and Dining,,1,SIN,SIN
Harvest & Vine Wine Bar,,1,BOS,BOS
Harvest and Grounds,,1,MCO,MCO
Harvest Table,,1,IAH,IAH
Hatti Kappi,,1,DEL,DEL
Hausmann's,,1,FRA,FRA
Hausmann's Bar (To Go) by Tim Mälzer,,1,FRA,FRA
Hausmann's Restaurant (by Tim Mälzer),,1,FRA,FRA
Havanna,,1,GIG,GIG
Hawaa Al Wedian,,1,DXB,DXB
Hayat,,1,DXB,DXB
HD Döner,kebab,1,IST,IST
Heavenly Wang,local,1,SIN,SIN
Heberer Traditional Bakery,,1,FRA,FRA
Heineken Grand Café,,1,LIS,LIS
Heineken House,,1,SYD,SYD
Helados Santa Clara,,1,MEX,MEX
Hello Goodbye Bar,,1,DEL,DEL
Hemingway's Restaurant & Bar,,1,BOS,BOS
Hemisphere on LVL 9,,1,MCO,MCO
Henderson's Bottle Shop,,1,YYZ,YYZ
Hermann's,,1,FRA,FRA
Hi! Brussels,,1,BRU,BRU
Hickory,,1,DFW,DFW
Hickory by Kent Rathbun,,1,DFW,DFW
HighBorn Coffee,coffee_shop,1,IST,IST
Highlands Coffee,,1,MNL,MNL
Hikari Ramen & Donburi,japanese,1,SYD,SYD
Hill Country Barbecue Market,,1,LGA,LGA
