name,cuisine,airport_code,airport_name
L.A Chicks,,MNL,Manila Ninoy Aquino
Le Amoretto,,MNL,Manila Ninoy Aquino
Little Flour,,MNL,Manila Ninoy Aquino
Mama Lou'S,,MNL,Manila Ninoy Aquino
Mamak,,MNL,Manila Ninoy Aquino
Mary Grace Café,,MNL,Manila Ninoy Aquino
Master Siomai,,MNL,Manila Ninoy Aquino
Mempci Coop,,MNL,Manila Ninoy Aquino
Muhlach Ensaymada,,MNL,Manila Ninoy Aquino
Nanyang,,MNL,Manila Ninoy Aquino
Nono'S Comfort Kitchen & Bakery,,MNL,Manila Ninoy Aquino
Palm Grill,,MNL,Manila Ninoy Aquino
Pan De Coco Diner,,MNL,Manila Ninoy Aquino
Pho Hoa,,MNL,Manila Ninoy Aquino
Piazza Café & Bar Tnp,,MNL,Manila Ninoy Aquino
Purefoods Street Sarap,,MNL,Manila Ninoy Aquino
Racks / Tenya,,MNL,Manila Ninoy Aquino
Sans Rival,,MNL,Manila Ninoy Aquino
Seattles Best Coffee,,MNL,Manila Ninoy Aquino
Serenitea,,MNL,Manila Ninoy Aquino
Siomai King,,MNL,Manila Ninoy Aquino
Sweet Ideas,,MNL,Manila Ninoy Aquino
Tapa King,,MNL,Manila Ninoy Aquino
Treats - Tinapay Ni Nanay,,MNL,Manila Ninoy Aquino
Tsim Sha Tsui,,MNL,Manila Ninoy Aquino
Ucc Mentore,,MNL,Manila Ninoy Aquino
Watami,,MNL,Manila Ninoy Aquino
AFL Kitchen & Bar,,MEL,Melbourne Airport
Airo Restaurant - ParkRoyal,,MEL,Melbourne Airport
Axil Coffee Roasters,,MEL,Melbourne Airport
Bar Pulpo by Movida,,MEL,Melbourne Airport
Biggie Smalls,,MEL,Melbourne Airport
Boccata Restaurant and Wine Bar,,MEL,Melbourne Airport
Bridge Road Brewers,,MEL,Melbourne Airport
Brunetti Classico,,MEL,Melbourne Airport
Bà Xã,,MEL,Melbourne Airport
Cafe Sol,,MEL,Melbourne Airport
Coffee Capital,,MEL,Melbourne Airport
Croissant Lab,,MEL,Melbourne Airport
Daniel's Donuts,,MEL,Melbourne Airport
Dumpling Co,,MEL,Melbourne Airport
EARL Canteen,,MEL,Melbourne Airport
Flat Chat Espresso & Bar,,MEL,Melbourne Airport
Go! Espresso and Bar,,MEL,Melbourne Airport
Grill'd Healthy Burgers,,MEL,Melbourne Airport
Hanna's Cafe,,MEL,Melbourne Airport
Icons Victoria,,MEL,Melbourne Airport
Little Lygon,,MEL,Melbourne Airport
Little Melbourne,,MEL,Melbourne Airport
Liv Eat Healthy Eating,,MEL,Melbourne Airport
Mezze Za Za,,MEL,Melbourne Airport
Nathan Rd Asian Kitchen,,MEL,Melbourne Airport
Noodles XO,,MEL,Melbourne Airport
Pickett's Deli & Rotisserie,,MEL,Melbourne Airport
Pizza Al Taglio,,MEL,Melbourne Airport
Quikshots,,MEL,Melbourne Airport
Roll'd Vietnamese,,MEL,Melbourne Airport
Rustica,,MEL,Melbourne Airport
Salsas Fresh Mex,,MEL,Melbourne Airport
Schnitz,,MEL,Melbourne Airport
Small Holdings,,MEL,Melbourne Airport
ST. ALi,,MEL,Melbourne Airport
Stomping Ground Brewery,,MEL,Melbourne Airport
Sushi Jiro,,MEL,Melbourne Airport
The Cellar Bar & Bistro,,MEL,Melbourne Airport
The Chocolate Box,,MEL,Melbourne Airport
The Local Taphouse,,MEL,Melbourne Airport
The Pelican,,MEL,Melbourne Airport
Think Asia,,MEL,Melbourne Airport
Two Johns Taphouse,,MEL,Melbourne Airport
Urban Provodore,,MEL,Melbourne Airport
Veneziano Coffee Roasters,,MEL,Melbourne Airport
WH Smith Australia,,MEL,Melbourne Airport
Wine Selectors,,MEL,Melbourne Airport
100% Natural,,MEX,Mexico City Benito Juárez
100°C Fresco y Mexicano,,MEX,Mexico City Benito Juárez
7 Eleven,,MEX,Mexico City Benito Juárez
Baron Rojo,,MEX,Mexico City Benito Juárez
Café Punta del Cielo,,MEX,Mexico City Benito Juárez
Casa Ávila,,MEX,Mexico City Benito Juárez
Chilim Balam,,MEX,Mexico City Benito Juárez
China King,,MEX,Mexico City Benito Juárez
CIRCULO K,,MEX,Mexico City Benito Juárez
Cucara Macara,,MEX,Mexico City Benito Juárez
Cup Stop,,MEX,Mexico City Benito Juárez
Deli&Cia Daily Smart Food,,MEX,Mexico City Benito Juárez
DINO Snack Bar & Fast Food,,MEX,Mexico City Benito Juárez
Dotcom,,MEX,Mexico City Benito Juárez
El Alcatraz,,MEX,Mexico City Benito Juárez
El Café Bar,,MEX,Mexico City Benito Juárez
El Fogoncito,,MEX,Mexico City Benito Juárez
El Globo,,MEX,Mexico City Benito Juárez
El Gran Pastor,,MEX,Mexico City Benito Juárez
Farolito,,MEX,Mexico City Benito Juárez
Fly By Wings,,MEX,Mexico City Benito Juárez
Garabatos,,MEX,Mexico City Benito Juárez
Gino's,,MEX,Mexico City Benito Juárez
Helados Santa Clara,,MEX,Mexico City Benito Juárez
Italiannis,,MEX,Mexico City Benito Juárez
Ke Rico,,MEX,Mexico City Benito Juárez
La Baguetelle,,MEX,Mexico City Benito Juárez
La Buena Tierra,,MEX,Mexico City Benito Juárez
La Cachondita Pibil,,MEX,Mexico City Benito Juárez
La Masion,,MEX,Mexico City Benito Juárez
La Taba,,MEX,Mexico City Benito Juárez
La Taba Express,,MEX,Mexico City Benito Juárez
La Taba Sport Bar,,MEX,Mexico City Benito Juárez
La Vieja Molienda,,MEX,Mexico City Benito Juárez
Maison Kayser,,MEX,Mexico City Benito Juárez
Nagaoka,,MEX,Mexico City Benito Juárez
OXXO,,MEX,Mexico City Benito Juárez
Pasión del Cielo,,MEX,Mexico City Benito Juárez
Picard,,MEX,Mexico City Benito Juárez
Pick & Joy,,MEX,Mexico City Benito Juárez
Pizza Bar,,MEX,Mexico City Benito Juárez
Potzollcalli,,MEX,Mexico City Benito Juárez
Pronto Gino's,,MEX,Mexico City Benito Juárez
Salute,,MEX,Mexico City Benito Juárez
Salute MX,,MEX,Mexico City Benito Juárez
Semillero,,MEX,Mexico City Benito Juárez
Tacañon,,MEX,Mexico City Benito Juárez
Taco Inn,,MEX,Mexico City Benito Juárez
Tasca Don Quino,,MEX,Mexico City Benito Juárez
Tere Cazola,,MEX,Mexico City Benito Juárez
Terraza MX,,MEX,Mexico City Benito Juárez
The Urban Deli & Café,,MEX,Mexico City Benito Juárez
Tortas Don Polo,,MEX,Mexico City Benito Juárez
Urban Corner,,MEX,Mexico City Benito Juárez
Wings,,MEX,Mexico City Benito Juárez
Xocolia,,MEX,Mexico City Benito Juárez
305 Pizza,,MIA,Miami International
Au Bon Pain,,MIA,Miami International
Café La Carreta,,MIA,Miami International
Café Versailles,,MIA,Miami International
Chef Creole,,MIA,Miami International
Chefs of the Caribbean,,MIA,Miami International
Estefan Kitchen Express,,MIA,Miami International
Famous Famiglia,,MIA,Miami International
Farm2Air Market,,MIA,Miami International
Farmair's Café,,MIA,Miami International
Fig & Fennel,,MIA,Miami International
Gilbert's Food Bar (Post-Security),,MIA,Miami International
Jackson Soul Food,,MIA,Miami International
La Carreta,,MIA,Miami International
La Colombe & The Great Bagel,,MIA,Miami International
Maestro Della Pizza,,MIA,Miami International
Misha's Cupcakes,,MIA,Miami International
Sergio's GO,,MIA,Miami International
Sushi Maki,,MIA,Miami International
Aj 1881,,BOM,Mumbai Chhatrapati Shivaji
All Good Deli,,BOM,Mumbai Chhatrapati Shivaji
Amcha Katta,,BOM,Mumbai Chhatrapati Shivaji
Amreli,,BOM,Mumbai Chhatrapati Shivaji
Amul Ice Cream Lounge,,BOM,Mumbai Chhatrapati Shivaji
Asia 7,,BOM,Mumbai Chhatrapati Shivaji
Baker Street,,BOM,Mumbai Chhatrapati Shivaji
Balaji,,BOM,Mumbai Chhatrapati Shivaji
Bar Fly,,BOM,Mumbai Chhatrapati Shivaji
Bira 91 Taproom,,BOM,Mumbai Chhatrapati Shivaji
Black Dog Bar,,BOM,Mumbai Chhatrapati Shivaji
Blackberry,,BOM,Mumbai Chhatrapati Shivaji
Boarding Bite,,BOM,Mumbai Chhatrapati Shivaji
Budweiser Bar,,BOM,Mumbai Chhatrapati Shivaji
Burger Taco Co,,BOM,Mumbai Chhatrapati Shivaji
Ccd,,BOM,Mumbai Chhatrapati Shivaji
Chef café,,BOM,Mumbai Chhatrapati Shivaji
Clink Bar,,BOM,Mumbai Chhatrapati Shivaji
Coffee Bean & Tea Leaf (CBTL),,BOM,Mumbai Chhatrapati Shivaji
Donna Italia,,BOM,Mumbai Chhatrapati Shivaji
Dosa Plaza,,BOM,Mumbai Chhatrapati Shivaji
Flurys,,BOM,Mumbai Chhatrapati Shivaji
Foody's,,BOM,Mumbai Chhatrapati Shivaji
Fresco,,BOM,Mumbai Chhatrapati Shivaji
Good Flippin' Burgers,,BOM,Mumbai Chhatrapati Shivaji
Hoegaarden Bar,,BOM,Mumbai Chhatrapati Shivaji
Irish house,,BOM,Mumbai Chhatrapati Shivaji
Jumbo King,,BOM,Mumbai Chhatrapati Shivaji
Madras Coffee House,,BOM,Mumbai Chhatrapati Shivaji
Manis Cafe,,BOM,Mumbai Chhatrapati Shivaji
Messo,,BOM,Mumbai Chhatrapati Shivaji
Mint & Mirchi,,BOM,Mumbai Chhatrapati Shivaji
Mitti Café,,BOM,Mumbai Chhatrapati Shivaji
Moti Mahal,,BOM,Mumbai Chhatrapati Shivaji
Mumbai Se,,BOM,Mumbai Chhatrapati Shivaji
Mumbai Snacks,,BOM,Mumbai Chhatrapati Shivaji
Naashto,,BOM,Mumbai Chhatrapati Shivaji
Naturals,,BOM,Mumbai Chhatrapati Shivaji
New York Burrito Company,,BOM,Mumbai Chhatrapati Shivaji
Ottoman Eats,,BOM,Mumbai Chhatrapati Shivaji
Pasta Station,,BOM,Mumbai Chhatrapati Shivaji
Raju Omlet,,BOM,Mumbai Chhatrapati Shivaji
Salad Bar,,BOM,Mumbai Chhatrapati Shivaji
Shawarma Shack,,BOM,Mumbai Chhatrapati Shivaji
Shiv Sagar,,BOM,Mumbai Chhatrapati Shivaji
Squeeze Juice,,BOM,Mumbai Chhatrapati Shivaji
Street Foods by Punjab Grill,,BOM,Mumbai Chhatrapati Shivaji
The Cram Bar,,BOM,Mumbai Chhatrapati Shivaji
TIKG (The Indian Kebab Grill) Bar,,BOM,Mumbai Chhatrapati Shivaji
Zambar,,BOM,Mumbai Chhatrapati Shivaji
4 FOOD Street Kitchen,,MUC,Munich Airport
Adelholzener Bar,,MUC,Munich Airport
Airbräu,,MUC,Munich Airport
Airbräu Next to Heaven,,MUC,Munich Airport
Airport Oliva,,MUC,Munich Airport
Alfredo Bar & Biergarten,,MUC,Munich Airport
Apollinaris Bar,,MUC,Munich Airport
Backstube Wünsche,,MUC,Munich Airport
Bamee,,MUC,Munich Airport
Bluebird Bar,,MUC,Munich Airport
Boconero,,MUC,Munich Airport
Boconero Express,,MUC,Munich Airport
Breznsalzer,,MUC,Munich Airport
Bruschetteria,,MUC,Munich Airport
Ciao Amici,,MUC,Munich Airport
Cloud 7,,MUC,Munich Airport
Coca-Cola Bar & Biergarten,,MUC,Munich Airport
Cucina Popolare,,MUC,Munich Airport
Dallmayr Bistro,,MUC,Munich Airport
Erdinger Bar & Biergarten,,MUC,Munich Airport
Foodji,,MUC,Munich Airport
Fürstenlounge,,MUC,Munich Airport
Hofbräu Bistro,,MUC,Munich Airport
Käfer,,MUC,Munich Airport
Käfer - factory of enjoyment,,MUC,Munich Airport
Käfer Bistro,,MUC,Munich Airport
Lenbachs Bar & Gallery,,MUC,Munich Airport
Magnum Gate,,MUC,Munich Airport
Mionetto Bar,,MUC,Munich Airport
Mountain Hub Gourmet,,MUC,Munich Airport
Mountain Hub Social Dining,,MUC,Munich Airport
Münchner Leibspeise,,MUC,Munich Airport
Nightflight Bar,,MUC,Munich Airport
Seafood meets Asia,,MUC,Munich Airport
Selmans Restaurant & Bar,,MUC,Munich Airport
Sissi & Franz,,MUC,Munich Airport
Sissi & Franz Bar,,MUC,Munich Airport
Smokey Joe's,,MUC,Munich Airport
Sportalm,,MUC,Munich Airport
Subralott,,MUC,Munich Airport
Surf and Turf,,MUC,Munich Airport
Tante Ju's Speisenwerkstatt,,MUC,Munich Airport
The Flave of Munich,,MUC,Munich Airport
the ODEON by Käfer,,MUC,Munich Airport
urban Biergarten,,MUC,Munich Airport
Viktualien Stubn,,MUC,Munich Airport
Wiener's,,MUC,Munich Airport
Alidoro,sandwich,JFK,New York JFK
Apartment 7B Deli & Market,,JFK,New York JFK
Arrivals Eatery,,JFK,New York JFK
Artichoke Pizzeria,pizza,JFK,New York JFK
Aunt Butchie's Bakery Cafe,,JFK,New York JFK
Bagel Boss,,JFK,New York JFK
Beacon Bar and Kitchen,"pizza, sandwich",JFK,New York JFK
BKLYN Blend,coffee_shop,JFK,New York JFK
Black Star Bakery & Cafe,,JFK,New York JFK
Black Tap Bar,,JFK,New York JFK
Boulton & Watt,,JFK,New York JFK
Brindle Room,,JFK,New York JFK
Brooklyn Deli,,JFK,New York JFK
Brooklyn Rebel,,JFK,New York JFK
Bryant Park Market,,JFK,New York JFK
Caribbean Kitchen,caribbean,JFK,New York JFK
Cibo Express,coffee_shop,JFK,New York JFK
Cobblestones Biergarten & Bar,,JFK,New York JFK
Connie Cocktail Lounge,,JFK,New York JFK
Crêpes Your Way,,JFK,New York JFK
Custom Burgers,burger,JFK,New York JFK
Dear NYC,,JFK,New York JFK
Dos Toros Tequila Bar,mexican,JFK,New York JFK
Downtown Market,,JFK,New York JFK
Eastward,,JFK,New York JFK
Eat and go,,JFK,New York JFK
Euro Cafe,,JFK,New York JFK
Five Borough Food Hall,,JFK,New York JFK
Flatiron Coffee Roasters,,JFK,New York JFK
Fly-By Bagels,,JFK,New York JFK
Flying Tacos,mexican,JFK,New York JFK
Gotham Speakeasy,,JFK,New York JFK
Guy Fieri's Flavortown,,JFK,New York JFK
H & H Bagels,,JFK,New York JFK
Horizon Bakery - CEGM,,JFK,New York JFK
Jacob's Pickles,,JFK,New York JFK
Joe Coffee,coffee_shop,JFK,New York JFK
Lucy's Asian Kitchen,asian,JFK,New York JFK
Madhuban Modern Indian,indian,JFK,New York JFK
Midtown Bistro,,JFK,New York JFK
Mister Softee,,JFK,New York JFK
Mito,,JFK,New York JFK
Naya,,JFK,New York JFK
Nolita Wine Bar,,JFK,New York JFK
Nom Wah,chinese,JFK,New York JFK
Nom Wah Bar,chinese,JFK,New York JFK
NY Deli / Gateway Bake Shop,,JFK,New York JFK
NY Fresh Subs,,JFK,New York JFK
NY Minute,,JFK,New York JFK
Paris Cafe,,JFK,New York JFK
Petit Gourmet,,JFK,New York JFK
Pizza  Pub,pizza,JFK,New York JFK
Pizza Vino Bar,pizza,JFK,New York JFK
Pizza Vino Kitchen & Bar,,JFK,New York JFK
Pool Bar,,JFK,New York JFK
Revive,,JFK,New York JFK
Revolucion,mexican,JFK,New York JFK
Shin Ramyun,ramen,JFK,New York JFK
So Chocolate,,JFK,New York JFK
Soho Bites,,JFK,New York JFK
Soy & Sake,,JFK,New York JFK
Supply Five Co.,,JFK,New York JFK
Taste of NY,,JFK,New York JFK
Tender Crush,,JFK,New York JFK
The Blinded Tiger,,JFK,New York JFK
The Brooklyn Counter,burger,JFK,New York JFK
The Connie,,JFK,New York JFK
The Golden Krust,,JFK,New York JFK
The Local,,JFK,New York JFK
The Palm Bar & Grill,,JFK,New York JFK
The Sunken Lounge,,JFK,New York JFK
True Burger,burger,JFK,New York JFK
TWA Corner Store,,JFK,New York JFK
Uptown Bar,,JFK,New York JFK
Uptown Market,,JFK,New York JFK
Van Wyck Bar & Grill,,JFK,New York JFK
Villa Russo,italian,JFK,New York JFK
VINNY'S Panini,sandwich,JFK,New York JFK
Wok & Roll,,JFK,New York JFK
Wurst Sausages,,JFK,New York JFK
5 Boroughs Food Emporium,,LGA,New York LaGuardia
Artichoke Pizza,,LGA,New York LaGuardia
Bar 212,,LGA,New York LaGuardia
Bar Veloce,,LGA,New York LaGuardia
Beecher's Handmade Cheese / Sweetleaf Coffee Roasters,,LGA,New York LaGuardia
Birch Coffee / H&H Bagels / Rossi Pizzeria,,LGA,New York LaGuardia
Brklyn's Best Bagels / Kombu,,LGA,New York LaGuardia
Brooklyn Diner,,LGA,New York LaGuardia
Bubby's,,LGA,New York LaGuardia
BuzzFeed,,LGA,New York LaGuardia
Calista Taverna,,LGA,New York LaGuardia
Capital One Landing,,LGA,New York LaGuardia
Chopt,,LGA,New York LaGuardia
CIBO Express Foodhall,,LGA,New York LaGuardia
CIBO Express Gourmet Markets,,LGA,New York LaGuardia
Cotto Trattoria & Market Place,,LGA,New York LaGuardia
District Market,,LGA,New York LaGuardia
Dos Toros,,LGA,New York LaGuardia
Eggy Weggy / Essex Burger,,LGA,New York LaGuardia
Fiorello Market,,LGA,New York LaGuardia
Flatiron Tavern & Provisions,,LGA,New York LaGuardia
Gotham News,,LGA,New York LaGuardia
Green Leaf's,,LGA,New York LaGuardia
Hill Country Barbecue Market,,LGA,New York LaGuardia
Hunt and Fish Grill,,LGA,New York LaGuardia
Il Viaggio,,LGA,New York LaGuardia
Junior's Restaurant and Cheesecake,,LGA,New York LaGuardia
King David Tacos,,LGA,New York LaGuardia
La Chula Bar & Taqueria,,LGA,New York LaGuardia
Mad Ave. Market,,LGA,New York LaGuardia
Mezze,,LGA,New York LaGuardia
Mulberry Street,,LGA,New York LaGuardia
NY Creperie,,LGA,New York LaGuardia
NYC Aglow,,LGA,New York LaGuardia
Orpheus + Apollo,,LGA,New York LaGuardia
Panorama Bar,,LGA,New York LaGuardia
Poppy's Bagels / Chuko Ramen,,LGA,New York LaGuardia
Pour Authority,,LGA,New York LaGuardia
Prime Steakhouse,,LGA,New York LaGuardia
Queens Corner,,LGA,New York LaGuardia
Soleil Brasserie,,LGA,New York LaGuardia
Spirit & Bell,,LGA,New York LaGuardia
Sunday Supper Trattoria,,LGA,New York LaGuardia
Taim Mediterranean Kitchen,,LGA,New York LaGuardia
Talde Noodle Bar,,LGA,New York LaGuardia
Terrace Bar,,LGA,New York LaGuardia
The Bowery Bay Shops,,LGA,New York LaGuardia
The Grille,,LGA,New York LaGuardia
The Line Sports Grill,,LGA,New York LaGuardia
Tony and Benny's Pizza Parlor,,LGA,New York LaGuardia
Trinity Burgers,,LGA,New York LaGuardia
Uptown Essentials,,LGA,New York LaGuardia
W.H. Smith,,LGA,New York LaGuardia
Asian Chao - Gates 100-129,,MCO,Orlando International
Bahama Breeze - Gates 70-79,,MCO,Orlando International
Bananas Smoothies & Frozen Yogurt - Gates 100-129,,MCO,Orlando International
Barnie's Coffee & Tea Co.,,MCO,Orlando International
Camden Food Company - Gates 50-59,,MCO,Orlando International
Cask & Larder - Gates 100-129,,MCO,Orlando International
Cask & Larder Provisions - Terminal C Palm Court,,MCO,Orlando International
Cask & Larder Public House - Terminal C Palm Court,,MCO,Orlando International
Chick-fil-A - Food Court,,MCO,Orlando International
Chick-fil-A - Terminal C Palm Court,,MCO,Orlando International
CIBO Express - Gate 72,,MCO,Orlando International
CIBO Express - Gate 80,,MCO,Orlando International
CIBO Express - Gate 92,,MCO,Orlando International
Cucina & Co. - Gates C230-C245,,MCO,Orlando International
Desano Pizzeria - Terminal C Palm Court,,MCO,Orlando International
FarmAir's Market - Gate 103,,MCO,Orlando International
FarmAir's Market - Gate 123,,MCO,Orlando International
Firehouse Subs - Food Court,,MCO,Orlando International
Gastrohub - Gates 30-59,,MCO,Orlando International
Gastrohub To Go - Gates 30-59,,MCO,Orlando International
Green Leaf's Beyond Great Salads - Gates 100-129,,MCO,Orlando International
Greenbeat - Terminal C Palm Court,,MCO,Orlando International
Harvest and Grounds,,MCO,Orlando International
Hemisphere on LVL 9,,MCO,Orlando International
Le Grand Comptoir - Gate 22,,MCO,Orlando International
Lobby Bar at Hyatt Regency,,MCO,Orlando International
Market by Villa,,MCO,Orlando International
McCoy's Bar & Grill at Hyatt Regency - Level 4,,MCO,Orlando International
McCoy's Bar & Grill To-Go,,MCO,Orlando International
Orange County Brewery,,MCO,Orlando International
Orange County Brewery - Gates C230-C245,,MCO,Orlando International
Orlando Pride City Pub,,MCO,Orlando International
Outback Take Away - Gates 70-79,,MCO,Orlando International
Ravenous Pig Brewing Co. General Store - Gates C230-C245,,MCO,Orlando International
Revive - Gate 80,,MCO,Orlando International
Revive - Gate 90,,MCO,Orlando International
Romano's On the Fly,,MCO,Orlando International
Snack and Drink Vending Machine,,MCO,Orlando International
Summer House Orlando - Terminal C Palm Court,,MCO,Orlando International
Sunshine Diner by Chef Art Smith - Gates C230-C245,,MCO,Orlando International
Tacos Locos - Gates 70-79,,MCO,Orlando International
Urban Crave - Gates 1-29,,MCO,Orlando International
Vino Volo - Gates 70-79,,MCO,Orlando International
Wine Bar George - Terminal C Palm Court,,MCO,Orlando International
ZaZa To Go - Gates 1-29,,MCO,Orlando International
551HORAI,chinese,KIX,Osaka Kansai
Azusa Coffee,coffee_shop,KIX,Osaka Kansai
BOTEJYU 1946,japanese,KIX,Osaka Kansai
Cafe & Bar 和 SAKURA,,KIX,Osaka Kansai
Café DIOR by Anne-Sophie Pic,,KIX,Osaka Kansai
COCO'S Airport Dining,,KIX,Osaka Kansai
COLOSSEO,italian,KIX,Osaka Kansai
DOTONBORIKAMUKURA,japanese,KIX,Osaka Kansai
ESPRESSO & BAKERY,,KIX,Osaka Kansai
GENKI SHOUTEN,,KIX,Osaka Kansai
Hanazato,japanese,KIX,Osaka Kansai
Homemade Udon KINEYA MUGIMARU,japanese,KIX,Osaka Kansai
Japan Traveling Restaurant by BOTEJYU,japanese,KIX,Osaka Kansai
JAPANESE RESTAURANT,japanese,KIX,Osaka Kansai
Kagonoya,japanese,KIX,Osaka Kansai
Kanekohannosuke,japanese,KIX,Osaka Kansai
KIEFEL,,KIX,Osaka Kansai
KIX BEER,,KIX,Osaka Kansai
LE PAN Kobe Kitano,,KIX,Osaka Kansai
maidoookinishokudo kankushokudo,japanese,KIX,Osaka Kansai
MENSHO,ramen,KIX,Osaka Kansai
MUSUBIYA HINONE MIZUNONE,japanese,KIX,Osaka Kansai
nana's green tea,japanese,KIX,Osaka Kansai
Olive Hill,,KIX,Osaka Kansai
OnigiriBurger,japanese,KIX,Osaka Kansai
Osaka Gochi Shokudou,japanese,KIX,Osaka Kansai
OSAKA TENMA SUSHI NISHIYA,japanese,KIX,Osaka Kansai
PRONTO TERMINAL 1,,KIX,Osaka Kansai
Ryu-ka Seian Toushomen,chinese,KIX,Osaka Kansai
SAINT MARC CAFÉ,,KIX,Osaka Kansai
San Marco Curry,curry,KIX,Osaka Kansai
SOJIBO,japanese,KIX,Osaka Kansai
SUSHI OTAKU,japanese,KIX,Osaka Kansai
TAKOMASA,japanese,KIX,Osaka Kansai
The Brasserie,,KIX,Osaka Kansai
Toh-Lee,chinese,KIX,Osaka Kansai
TONKATSU WAKO KEITEI,japanese,KIX,Osaka Kansai
Tsukiji Magoemon,japanese,KIX,Osaka Kansai
ZETTERIA,,KIX,Osaka Kansai
È PRONTO,,KIX,Osaka Kansai
☆Soup,,KIX,Osaka Kansai
Bellota-Bellota,,CDG,Paris Charles de Gaulle
Bistrot Benoit,,CDG,Paris Charles de Gaulle
Byzance Gourmet Food Bar,,CDG,Paris Charles de Gaulle
Café Eiffel,,CDG,Paris Charles de Gaulle
Food & Café,,CDG,Paris Charles de Gaulle
I love Paris by Guy Martin,,CDG,Paris Charles de Gaulle
Kirei,,CDG,Paris Charles de Gaulle
La Table de Michel Roth,,CDG,Paris Charles de Gaulle
Le Bar,,CDG,Paris Charles de Gaulle
Maison Pradier,,CDG,Paris Charles de Gaulle
Miyou,,CDG,Paris Charles de Gaulle
Paname Tap House,,CDG,Paris Charles de Gaulle
Strada by It,,CDG,Paris Charles de Gaulle
Sūshi,,CDG,Paris Charles de Gaulle
A Saideira,,GIG,Rio de Janeiro Galeão
Aero Sport Bar,,GIG,Rio de Janeiro Galeão
Casa Bauducco,,GIG,Rio de Janeiro Galeão
CoffeeSpot,coffee_shop,GIG,Rio de Janeiro Galeão
Deltaexpresso,,GIG,Rio de Janeiro Galeão
Divino Fogão,,GIG,Rio de Janeiro Galeão
Empanadas y Tal,,GIG,Rio de Janeiro Galeão
Factory,,GIG,Rio de Janeiro Galeão
Freddo,ice_cream,GIG,Rio de Janeiro Galeão
Galeão Coffee Shop,coffee_shop,GIG,Rio de Janeiro Galeão
Geneal e Sorvetes Itália,ice_cream,GIG,Rio de Janeiro Galeão
Jamie's Deli,,GIG,Rio de Janeiro Galeão
Kozinha Sushi Bar & Árabe,japanese,GIG,Rio de Janeiro Galeão
Latitude,,GIG,Rio de Janeiro Galeão
Mania de Churrasco,barbecue,GIG,Rio de Janeiro Galeão
Mariposa,,GIG,Rio de Janeiro Galeão
Nescafé,,GIG,Rio de Janeiro Galeão
Nutty Bavarian,,GIG,Rio de Janeiro Galeão
O Pasquim Bar e Prosa,,GIG,Rio de Janeiro Galeão
Palaphita,,GIG,Rio de Janeiro Galeão
Pipocassa,,GIG,Rio de Janeiro Galeão
Salch&Pão,,GIG,Rio de Janeiro Galeão
Spoleto,italian,GIG,Rio de Janeiro Galeão
Travel Market,,GIG,Rio de Janeiro Galeão
Ventana Fresh,,GIG,Rio de Janeiro Galeão
12oz,,FCO,Rome Fiumicino
Beercode,,FCO,Rome Fiumicino
Berlucchi,,FCO,Rome Fiumicino
Bistro by Mastercard,,FCO,Rome Fiumicino
Bistrot,,FCO,Rome Fiumicino
Bonci,,FCO,Rome Fiumicino
Bottega Prosecco,,FCO,Rome Fiumicino
Caffè Napoli,,FCO,Rome Fiumicino
Caffè Vergnano - Women in Coffee,,FCO,Rome Fiumicino
Cioccolati italiani,,FCO,Rome Fiumicino
Doppio Malto,,FCO,Rome Fiumicino
Farinella,,FCO,Rome Fiumicino
Farinella T3,,FCO,Rome Fiumicino
Temakinho,,FCO,Rome Fiumicino
Tentazioni Cafè,,FCO,Rome Fiumicino
Africa Lounge,,SEA,Seattle-Tacoma International
Bad Egg Breakfast Bar,,SEA,Seattle-Tacoma International
Ballard Brew Hall,,SEA,Seattle-Tacoma International
Bambuza Vietnam Kitchen & Bar,,SEA,Seattle-Tacoma International
BrewTop Social,,SEA,Seattle-Tacoma International
Caffe D'arte,,SEA,Seattle-Tacoma International
Capitol Hill Food Hall,,SEA,Seattle-Tacoma International
Dilettante Mocha Cafe,,SEA,Seattle-Tacoma International
Dish D'Lish,,SEA,Seattle-Tacoma International
Embarque Whiskey Grill,,SEA,Seattle-Tacoma International
Floret by Cafe Flora,,SEA,Seattle-Tacoma International
Great State Burger,,SEA,Seattle-Tacoma International
Greedy Cow Burger,,SEA,Seattle-Tacoma International
Hachi-ko,,SEA,Seattle-Tacoma International
Koi Shi Sushi Bar,,SEA,Seattle-Tacoma International
La Vie En Rose,,SEA,Seattle-Tacoma International
Lucky Louie Fish Shack,,SEA,Seattle-Tacoma International
Lunchbox Laboratory,,SEA,Seattle-Tacoma International
Moe's Indian Kitchen,,SEA,Seattle-Tacoma International
Mountain Room,,SEA,Seattle-Tacoma International
Nanny's Northwest BBQ Joint,,SEA,Seattle-Tacoma International
Neighborhood Bubble Tea & Coffee,,SEA,Seattle-Tacoma International
Neighborhood Cafe,,SEA,Seattle-Tacoma International
Ninth & Pike,,SEA,Seattle-Tacoma International
Open Space Tap Room,,SEA,Seattle-Tacoma International
Pacific Market,,SEA,Seattle-Tacoma International
Poke to the Max,,SEA,Seattle-Tacoma International
Rel'Lish Burger Lounge,,SEA,Seattle-Tacoma International
Salty's at the SEA,,SEA,Seattle-Tacoma International
Seattle Beer Union,,SEA,Seattle-Tacoma International
Seattle Dawg House,,SEA,Seattle-Tacoma International
