"name","terminal","airside","gate","address","phone","website","cuisine","categories","description","opening_hours","wheelchair","takeaway","halal","vegetarian_options","vegan_options","verified_status","osm_id"
"Byte: Fresh Grab and Go Meals","Terminal E","Airside","","","","","","","","Mo-Su 00:00-24:00","","","","","","OPEN — on official Houston IAH website",""
"Cadillac Mexican Kitchen & Tequila Bar","Terminal E","Airside","Gate E24","Gate E24","","","","","","Mo-Su 06:00-22:00","","","","","","OPEN — on official Houston IAH website",""
"Chick-fil-A","Terminal E","Airside","Security Checkpoint","Security Checkpoint","","","","","","","","","","","","OPEN — on official Houston IAH website",""
"Chili's","Terminal E","Airside","Security Checkpoint","Security Checkpoint","","","","","","","","","","","","OPEN — on official Houston IAH website",""
"CIBO Express Gourmet Market","Terminal E","Airside","","","","","","","","Mo-Su 00:00-24:00","","","","","","OPEN — on official Houston IAH website",""
"Cinnabon","Terminal E","Airside","Gate E12","Gate E12","","","","","","Mo-Su 04:00-21:00","","","","","","OPEN — on official Houston IAH website",""
"Panda Express","Terminal E","Airside","Gate E3","Gate E3","","","","","","Mo-Su 06:00-21:00","","","","","","OPEN — on official Houston IAH website",""
"Pappasito's Cantina","Terminal E","Airside","Gate E1","Gate E1","","","","","","Mo-Su 07:00-20:00","","","","","","OPEN — on official Houston IAH website",""
"Schlotzky's Deli","Terminal E","Airside","Gate E24","Gate E24","","","","","","Mo-Su 05:30-21:00","","","","","","OPEN — on official Houston IAH website",""
"Starbucks","Terminal E","Airside","Gate E23","Gate E23","","","","","","Mo-Su 05:00-21:00","","","","","","OPEN — on official Houston IAH website",""
"Tagliare","Terminal E","Airside","Gate E12","Gate E12","","","","","","Mo-Su 06:00-21:00","","","","","","OPEN — on official Houston IAH website",""
"The Market by Villa","Terminal E","Airside","Gate E1","Gate E1","","","","","","Mo-Su 04:30-22:00","","","","","","OPEN — on official Houston IAH website",""
"TGI Fridays","Terminal E","Airside","Gate E24","Gate E24","","","","","","Mo-Su 07:00-22:00","","","","","","OPEN — on official Houston IAH website",""
