name,terminal,concourse,airside,gate,address,phone,website,cuisine,categories,description,opening_hours,wheelchair,takeaway,halal,vegetarian_options,vegan_options,verified_status,osm_id
"Port of Subs","Terminal 3","Concourse D","Airside","D4","Near Gate D4 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Wolfgang Puck Express","Terminal 3","Concourse D","Airside","D17","Near Gate D17 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Starbucks","Terminal 3","Concourse D","Airside","D36","Near Gate D36 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Chili's","Terminal 3","Concourse D","Airside","D35","Near Gate D35 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Dave's Hot Chicken","Terminal 3","Concourse D","Airside","D36","Near Gate D36 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Metro Pizza","Terminal 3","Concourse D","Airside","D36","Near Gate D36 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Quiznos Sub","Terminal 3","Concourse D","Airside","D34","Near Gate D34 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Starbucks","Terminal 3","Concourse D","Airside","D26","Near Gate D26 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Dunkin' Express","Terminal 3","Concourse D","Airside","D26","Near Gate D26 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Jamba Juice","Terminal 3","Concourse D","Airside","","Near D-Gates-Great Hall • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"The Great American Bagel Bakery","Terminal 3","Concourse D","Airside","","Near D-Gates-Great Hall • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Espresso Urbano by Sambalatte","Terminal 3","","Landside","","Near T3 Baggage Claim • Before Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"LAS MKT","Terminal 1","Concourse C","Airside","C7","Near Gate C7 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Crafted Bar","Terminal 1","Concourse C","Airside","C7","Near Gate C7 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Fresh Attractions","Terminal 1","Concourse C","Airside","C3","Near Gate C3 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"PGA Tour Grill","Terminal 1","Concourse B","Airside","B17","Near Gate B17 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"PGA TO GO","Terminal 1","Concourse B","Airside","B17","Near Gate B17 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Hudson News","Terminal 1","Concourse A","Airside","A10","Near Gate A10 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Gaming Lounge","Terminal 1","Concourse B","Airside","B15","Near Gate B15 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Hudson News","Terminal 1","Concourse B","Airside","B9","Near Gate B9 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Fresh Market On The Go","Terminal 1","Concourse C","Airside","C21","Near Gate C21 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Chili's","Terminal 1","Concourse C","Airside","C19","Near Gate C19 • After Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Full Bar","Terminal 1","","Landside","","Near Check-In • Before Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Crafted Bar","Terminal 1","","Landside","","Before Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Full Bar","Terminal 3","","Landside","","Near Check-In • Before Security","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
"Vending Machine - M&Ms","Terminal 1","","Landside","","24/7 open","","","","","","","","","","","","OPEN — on official Harry Reid Airport website",""
